Control Points, Method, Time (s)
0,b1,  0.00000000
0,b2,  0.00000000
0,b3,  0.00000000
10000,b1,  0.00070000
10000,b2,  0.00075000
10000,b3,  0.00075000
20000,b1,  0.00145000
20000,b2,  0.00155000
20000,b3,  0.00145000
30000,b1,  0.00210000
30000,b2,  0.00240000
30000,b3,  0.00215000
40000,b1,  0.00285000
40000,b2,  0.00305000
40000,b3,  0.00285000
50000,b1,  0.00345000
50000,b2,  0.00385000
50000,b3,  0.00355000
60000,b1,  0.00410000
60000,b2,  0.00460000
60000,b3,  0.00420000
70000,b1,  0.00475000
70000,b2,  0.00540000
70000,b3,  0.00490000
80000,b1,  0.00545000
80000,b2,  0.00680000
80000,b3,  0.00560000
90000,b1,  0.00740000
90000,b2,  0.00690000
90000,b3,  0.00630000
100000,b1,  0.00680000
100000,b2,  0.00785000
100000,b3,  0.00715000
110000,b1,  0.00760000
110000,b2,  0.00865000
110000,b3,  0.00795000
120000,b1,  0.00835000
120000,b2,  0.00955000
120000,b3,  0.00875000
130000,b1,  0.00945000
130000,b2,  0.01010000
130000,b3,  0.00935000
140000,b1,  0.00975000
140000,b2,  0.01095000
140000,b3,  0.01005000
150000,b1,  0.01035000
150000,b2,  0.01205000
150000,b3,  0.01080000
160000,b1,  0.01105000
160000,b2,  0.01290000
160000,b3,  0.01185000
170000,b1,  0.01195000
170000,b2,  0.01370000
170000,b3,  0.01245000
180000,b1,  0.01250000
180000,b2,  0.01430000
180000,b3,  0.01420000
190000,b1,  0.01295000
190000,b2,  0.01470000
190000,b3,  0.01375000
200000,b1,  0.01370000
200000,b2,  0.01590000
200000,b3,  0.01425000
210000,b1,  0.01455000
210000,b2,  0.01640000
210000,b3,  0.01515000
220000,b1,  0.01520000
220000,b2,  0.01745000
220000,b3,  0.01565000
230000,b1,  0.01595000
230000,b2,  0.01805000
230000,b3,  0.01655000
240000,b1,  0.01660000
240000,b2,  0.01930000
240000,b3,  0.01725000
250000,b1,  0.01725000
250000,b2,  0.01955000
250000,b3,  0.01780000
260000,b1,  0.01765000
260000,b2,  0.02135000
260000,b3,  0.01845000
270000,b1,  0.01835000
270000,b2,  0.02080000
270000,b3,  0.01905000
280000,b1,  0.01900000
280000,b2,  0.02150000
280000,b3,  0.02110000
290000,b1,  0.01975000
290000,b2,  0.02235000
290000,b3,  0.02170000
300000,b1,  0.02110000
300000,b2,  0.02390000
300000,b3,  0.02155000
310000,b1,  0.02120000
310000,b2,  0.02410000
310000,b3,  0.02235000
320000,b1,  0.02210000
320000,b2,  0.02515000
320000,b3,  0.02320000
330000,b1,  0.02315000
330000,b2,  0.02570000
330000,b3,  0.02340000
340000,b1,  0.02325000
340000,b2,  0.02625000
340000,b3,  0.02405000
350000,b1,  0.02380000
350000,b2,  0.02700000
350000,b3,  0.02480000
360000,b1,  0.02455000
360000,b2,  0.02910000
360000,b3,  0.02550000
370000,b1,  0.02525000
370000,b2,  0.02855000
370000,b3,  0.02615000
380000,b1,  0.02595000
380000,b2,  0.02935000
380000,b3,  0.02690000
390000,b1,  0.02710000
390000,b2,  0.03015000
390000,b3,  0.02885000
400000,b1,  0.02730000
400000,b2,  0.03085000
400000,b3,  0.02840000
410000,b1,  0.02800000
410000,b2,  0.03165000
410000,b3,  0.02910000
420000,b1,  0.02865000
420000,b2,  0.03240000
420000,b3,  0.02970000
430000,b1,  0.03040000
430000,b2,  0.03335000
430000,b3,  0.03080000
440000,b1,  0.03080000
440000,b2,  0.03455000
440000,b3,  0.03155000
450000,b1,  0.03110000
450000,b2,  0.03500000
450000,b3,  0.03215000
460000,b1,  0.03175000
460000,b2,  0.03705000
460000,b3,  0.03295000
470000,b1,  0.03255000
470000,b2,  0.03655000
470000,b3,  0.03360000
480000,b1,  0.03315000
480000,b2,  0.03735000
480000,b3,  0.03430000
490000,b1,  0.03535000
490000,b2,  0.03855000
490000,b3,  0.03535000
500000,b1,  0.03515000
500000,b2,  0.03935000
500000,b3,  0.03625000
510000,b1,  0.03580000
510000,b2,  0.04055000
510000,b3,  0.03690000
520000,b1,  0.03630000
520000,b2,  0.04140000
520000,b3,  0.03710000
530000,b1,  0.03660000
530000,b2,  0.04125000
530000,b3,  0.03765000
540000,b1,  0.03805000
540000,b2,  0.04280000
540000,b3,  0.03915000
550000,b1,  0.03870000
550000,b2,  0.04305000
550000,b3,  0.04115000
560000,b1,  0.03960000
560000,b2,  0.04455000
560000,b3,  0.04095000
570000,b1,  0.04005000
570000,b2,  0.04405000
570000,b3,  0.04050000
580000,b1,  0.04075000
580000,b2,  0.04590000
580000,b3,  0.04190000
590000,b1,  0.04175000
590000,b2,  0.04655000
590000,b3,  0.04205000
600000,b1,  0.04135000
600000,b2,  0.04665000
600000,b3,  0.04280000
610000,b1,  0.04240000
610000,b2,  0.04765000
610000,b3,  0.04350000
620000,b1,  0.04320000
620000,b2,  0.04855000
620000,b3,  0.04525000
630000,b1,  0.04680000
630000,b2,  0.05170000
630000,b3,  0.04515000
640000,b1,  0.04445000
640000,b2,  0.05050000
640000,b3,  0.04600000
650000,b1,  0.04570000
650000,b2,  0.05075000
650000,b3,  0.04675000
