Control Points, Method, Time (s)
660000,b1,  0.04605000
660000,b2,  0.05155000
660000,b3,  0.04735000
670000,b1,  0.04640000
670000,b2,  0.05245000
670000,b3,  0.04910000
680000,b1,  0.04660000
680000,b2,  0.05255000
680000,b3,  0.04820000
690000,b1,  0.04810000
690000,b2,  0.05320000
690000,b3,  0.04910000
700000,b1,  0.04865000
700000,b2,  0.05640000
700000,b3,  0.04980000
710000,b1,  0.04920000
710000,b2,  0.05510000
710000,b3,  0.05050000
720000,b1,  0.04965000
720000,b2,  0.05705000
720000,b3,  0.05180000
730000,b1,  0.05120000
730000,b2,  0.05755000
730000,b3,  0.05440000
740000,b1,  0.05440000
740000,b2,  0.05805000
740000,b3,  0.05475000
750000,b1,  0.05165000
750000,b2,  0.05800000
750000,b3,  0.05310000
760000,b1,  0.05220000
760000,b2,  0.05925000
760000,b3,  0.05585000
770000,b1,  0.05760000
770000,b2,  0.06430000
770000,b3,  0.05885000
780000,b1,  0.05380000
780000,b2,  0.06035000
780000,b3,  0.05640000
790000,b1,  0.05550000
790000,b2,  0.06110000
790000,b3,  0.05620000
800000,b1,  0.05535000
800000,b2,  0.06225000
800000,b3,  0.05725000
810000,b1,  0.05610000
810000,b2,  0.06295000
810000,b3,  0.05745000
820000,b1,  0.05620000
820000,b2,  0.06345000
820000,b3,  0.05915000
830000,b1,  0.05785000
830000,b2,  0.06450000
830000,b3,  0.05975000
840000,b1,  0.05865000
840000,b2,  0.06575000
840000,b3,  0.06055000
850000,b1,  0.05870000
850000,b2,  0.06670000
850000,b3,  0.06120000
860000,b1,  0.06000000
860000,b2,  0.06725000
860000,b3,  0.06240000
870000,b1,  0.06075000
870000,b2,  0.06830000
870000,b3,  0.06265000
880000,b1,  0.06155000
880000,b2,  0.06910000
880000,b3,  0.06425000
890000,b1,  0.06270000
890000,b2,  0.06930000
890000,b3,  0.06355000
900000,b1,  0.06260000
900000,b2,  0.07000000
900000,b3,  0.06525000
910000,b1,  0.06265000
910000,b2,  0.07040000
910000,b3,  0.06455000
920000,b1,  0.06370000
920000,b2,  0.07270000
920000,b3,  0.06835000
930000,b1,  0.06625000
930000,b2,  0.07225000
930000,b3,  0.06805000
940000,b1,  0.06565000
940000,b2,  0.07550000
940000,b3,  0.06875000
950000,b1,  0.06780000
950000,b2,  0.07635000
950000,b3,  0.06900000
960000,b1,  0.06660000
960000,b2,  0.07425000
960000,b3,  0.06825000
970000,b1,  0.06705000
970000,b2,  0.07520000
970000,b3,  0.06925000
980000,b1,  0.06765000
980000,b2,  0.07615000
980000,b3,  0.06980000
990000,b1,  0.06855000
990000,b2,  0.07760000
990000,b3,  0.07065000
1000000,b1,  0.06915000
1000000,b2,  0.07775000
1000000,b3,  0.07120000
