Control Points,Method,Time (s)
710000,b2,  0.02035000
710000,b3,  0.02640000
720000,b1,  0.01070000
720000,b2,  0.01615000
720000,b3,  0.01960000
730000,b1,  0.00860000
730000,b2,  0.01650000
730000,b3,  0.01940000
740000,b1,  0.00845000
740000,b2,  0.01610000
740000,b3,  0.02290000
750000,b1,  0.00880000
750000,b2,  0.02270000
750000,b3,  0.02115000
760000,b1,  0.00955000
760000,b2,  0.02040000
760000,b3,  0.02150000
770000,b1,  0.01020000
770000,b2,  0.01655000
770000,b3,  0.01765000
780000,b1,  0.00840000
780000,b2,  0.01910000
780000,b3,  0.01925000
790000,b1,  0.00845000
790000,b2,  0.01700000
790000,b3,  0.01815000
800000,b1,  0.00870000
800000,b2,  0.01840000
800000,b3,  0.01955000
810000,b1,  0.00995000
810000,b2,  0.01720000
810000,b3,  0.01850000
820000,b1,  0.01225000
820000,b2,  0.01780000
820000,b3,  0.02435000
830000,b1,  0.01245000
830000,b2,  0.02105000
830000,b3,  0.02485000
840000,b1,  0.01220000
840000,b2,  0.02070000
840000,b3,  0.02120000
850000,b1,  0.01010000
850000,b2,  0.01820000
850000,b3,  0.02420000
860000,b1,  0.00975000
860000,b2,  0.01840000
860000,b3,  0.01950000
870000,b1,  0.00830000
870000,b2,  0.01850000
870000,b3,  0.01975000
880000,b1,  0.00840000
880000,b2,  0.03650000
880000,b3,  0.03730000
890000,b1,  0.00840000
890000,b2,  0.04255000
890000,b3,  0.04030000
900000,b1,  0.01015000
900000,b2,  0.04060000
900000,b3,  0.03765000
910000,b1,  0.00885000
910000,b2,  0.03640000
910000,b3,  0.03735000
920000,b1,  0.00900000
920000,b2,  0.03760000
920000,b3,  0.04150000
930000,b1,  0.01625000
930000,b2,  0.03995000
930000,b3,  0.04125000
940000,b1,  0.00975000
940000,b2,  0.04080000
940000,b3,  0.04525000
950000,b1,  0.00920000
950000,b2,  0.03925000
950000,b3,  0.03970000
960000,b1,  0.01140000
960000,b2,  0.04085000
960000,b3,  0.05145000
970000,b1,  0.01250000
970000,b2,  0.04740000
970000,b3,  0.05030000
980000,b1,  0.00955000
980000,b2,  0.03955000
980000,b3,  0.04400000
990000,b1,  0.01005000
990000,b2,  0.04220000
990000,b3,  0.04195000
1000000,b1,  0.00910000
1000000,b2,  0.04110000
1000000,b3,  0.04725000
