Control Points, Method, Time (s)
660000,b1,  0.09425000
660000,b2,  0.10825000
660000,b3,  0.10115000
670000,b1,  0.09440000
670000,b2,  0.11025000
670000,b3,  0.10200000
680000,b1,  0.09960000
680000,b2,  0.11155000
680000,b3,  0.10405000
690000,b1,  0.09885000
690000,b2,  0.11700000
690000,b3,  0.10350000
700000,b1,  0.09720000
700000,b2,  0.11295000
700000,b3,  0.10585000
710000,b1,  0.09660000
710000,b2,  0.11580000
710000,b3,  0.10720000
720000,b1,  0.09850000
720000,b2,  0.11740000
720000,b3,  0.10745000
730000,b1,  0.09970000
730000,b2,  0.11850000
730000,b3,  0.10895000
740000,b1,  0.10120000
740000,b2,  0.11985000
740000,b3,  0.11185000
750000,b1,  0.10250000
750000,b2,  0.12215000
750000,b3,  0.11285000
760000,b1,  0.10415000
760000,b2,  0.12465000
760000,b3,  0.11325000
770000,b1,  0.10500000
770000,b2,  0.12580000
770000,b3,  0.11665000
780000,b1,  0.10995000
780000,b2,  0.12610000
780000,b3,  0.11905000
790000,b1,  0.10775000
790000,b2,  0.12735000
790000,b3,  0.11795000
800000,b1,  0.10905000
800000,b2,  0.12905000
800000,b3,  0.12060000
810000,b1,  0.11170000
810000,b2,  0.13255000
810000,b3,  0.12205000
820000,b1,  0.11240000
820000,b2,  0.13510000
820000,b3,  0.12375000
830000,b1,  0.11570000
830000,b2,  0.13445000
830000,b3,  0.12410000
840000,b1,  0.11525000
840000,b2,  0.13515000
840000,b3,  0.12550000
850000,b1,  0.11710000
850000,b2,  0.13845000
850000,b3,  0.12990000
860000,b1,  0.11960000
860000,b2,  0.13990000
860000,b3,  0.13080000
870000,b1,  0.11870000
870000,b2,  0.13990000
870000,b3,  0.12930000
880000,b1,  0.11985000
880000,b2,  0.14270000
880000,b3,  0.13255000
890000,b1,  0.12080000
890000,b2,  0.14315000
890000,b3,  0.13275000
900000,b1,  0.12230000
900000,b2,  0.14480000
900000,b3,  0.13415000
910000,b1,  0.12395000
910000,b2,  0.14675000
910000,b3,  0.13575000
920000,b1,  0.12495000
920000,b2,  0.14810000
920000,b3,  0.13710000
930000,b1,  0.12750000
930000,b2,  0.14965000
930000,b3,  0.13875000
940000,b1,  0.12760000
940000,b2,  0.15125000
940000,b3,  0.14020000
950000,b1,  0.13110000
950000,b2,  0.15340000
950000,b3,  0.14215000
960000,b1,  0.13070000
960000,b2,  0.15550000
960000,b3,  0.14395000
970000,b1,  0.13175000
970000,b2,  0.15725000
970000,b3,  0.14565000
980000,b1,  0.13370000
980000,b2,  0.15875000
980000,b3,  0.14715000
990000,b1,  0.13580000
990000,b2,  0.16090000
990000,b3,  0.14765000
1000000,b1,  0.13695000
1000000,b2,  0.16085000
1000000,b3,  0.15050000
