Control Points, Method, Time (s)
0,b1,  0.00000000
0,b2,  0.00000000
0,b3,  0.00000000
10000,b1,  0.00135000
10000,b2,  0.00165000
10000,b3,  0.00155000
20000,b1,  0.00275000
20000,b2,  0.00325000
20000,b3,  0.00300000
30000,b1,  0.00420000
30000,b2,  0.00480000
30000,b3,  0.00445000
40000,b1,  0.00540000
40000,b2,  0.00645000
40000,b3,  0.00640000
50000,b1,  0.00695000
50000,b2,  0.00825000
50000,b3,  0.00765000
60000,b1,  0.00825000
60000,b2,  0.00980000
60000,b3,  0.00915000
70000,b1,  0.01050000
70000,b2,  0.01125000
70000,b3,  0.01045000
80000,b1,  0.01075000
80000,b2,  0.01290000
80000,b3,  0.01235000
90000,b1,  0.01240000
90000,b2,  0.01485000
90000,b3,  0.01345000
100000,b1,  0.01350000
100000,b2,  0.01605000
100000,b3,  0.01490000
110000,b1,  0.01475000
110000,b2,  0.01775000
110000,b3,  0.01750000
120000,b1,  0.01630000
120000,b2,  0.01950000
120000,b3,  0.01810000
130000,b1,  0.01765000
130000,b2,  0.02125000
130000,b3,  0.01955000
140000,b1,  0.01895000
140000,b2,  0.02275000
140000,b3,  0.02110000
150000,b1,  0.02090000
150000,b2,  0.02430000
150000,b3,  0.02320000
160000,b1,  0.02210000
160000,b2,  0.02580000
160000,b3,  0.02395000
170000,b1,  0.02520000
170000,b2,  0.02765000
170000,b3,  0.02530000
180000,b1,  0.02425000
180000,b2,  0.02905000
180000,b3,  0.02820000
190000,b1,  0.02565000
190000,b2,  0.03070000
190000,b3,  0.02870000
200000,b1,  0.02765000
200000,b2,  0.03280000
200000,b3,  0.03055000
210000,b1,  0.02825000
210000,b2,  0.03375000
210000,b3,  0.03145000
220000,b1,  0.03100000
220000,b2,  0.03535000
220000,b3,  0.03290000
230000,b1,  0.03170000
230000,b2,  0.03785000
230000,b3,  0.03495000
240000,b1,  0.03225000
240000,b2,  0.03860000
240000,b3,  0.03585000
250000,b1,  0.03370000
250000,b2,  0.04060000
250000,b3,  0.03825000
260000,b1,  0.03575000
260000,b2,  0.04215000
260000,b3,  0.03885000
270000,b1,  0.03755000
270000,b2,  0.04475000
270000,b3,  0.04120000
280000,b1,  0.03900000
280000,b2,  0.04535000
280000,b3,  0.04220000
290000,b1,  0.03995000
290000,b2,  0.04680000
290000,b3,  0.04330000
300000,b1,  0.04060000
300000,b2,  0.04840000
300000,b3,  0.04485000
310000,b1,  0.04175000
310000,b2,  0.05000000
310000,b3,  0.04665000
320000,b1,  0.04355000
320000,b2,  0.05185000
320000,b3,  0.04805000
330000,b1,  0.04565000
330000,b2,  0.05335000
330000,b3,  0.04995000
340000,b1,  0.04660000
340000,b2,  0.05515000
340000,b3,  0.05125000
350000,b1,  0.04845000
350000,b2,  0.06115000
350000,b3,  0.05305000
360000,b1,  0.05100000
360000,b2,  0.05915000
360000,b3,  0.05530000
370000,b1,  0.05460000
370000,b2,  0.06330000
370000,b3,  0.06035000
380000,b1,  0.05550000
380000,b2,  0.06635000
380000,b3,  0.05850000
390000,b1,  0.05540000
390000,b2,  0.06310000
390000,b3,  0.05965000
400000,b1,  0.05565000
400000,b2,  0.06545000
400000,b3,  0.05980000
410000,b1,  0.05610000
410000,b2,  0.06610000
410000,b3,  0.06125000
420000,b1,  0.05735000
420000,b2,  0.06820000
420000,b3,  0.06380000
430000,b1,  0.05930000
430000,b2,  0.07045000
430000,b3,  0.06510000
440000,b1,  0.06120000
440000,b2,  0.07075000
440000,b3,  0.06565000
450000,b1,  0.06115000
450000,b2,  0.07250000
450000,b3,  0.06775000
460000,b1,  0.06260000
460000,b2,  0.07410000
460000,b3,  0.06905000
470000,b1,  0.06630000
470000,b2,  0.07625000
470000,b3,  0.07140000
480000,b1,  0.06700000
480000,b2,  0.07940000
480000,b3,  0.07530000
490000,b1,  0.07275000
490000,b2,  0.08005000
490000,b3,  0.07525000
500000,b1,  0.06860000
500000,b2,  0.08165000
500000,b3,  0.07480000
510000,b1,  0.06965000
510000,b2,  0.08330000
510000,b3,  0.07635000
520000,b1,  0.07385000
520000,b2,  0.08745000
520000,b3,  0.08150000
530000,b1,  0.07740000
530000,b2,  0.08975000
530000,b3,  0.08455000
540000,b1,  0.07795000
540000,b2,  0.09265000
540000,b3,  0.08140000
550000,b1,  0.07605000
550000,b2,  0.08995000
550000,b3,  0.08225000
560000,b1,  0.07615000
560000,b2,  0.09040000
560000,b3,  0.08680000
570000,b1,  0.07815000
570000,b2,  0.09300000
570000,b3,  0.08540000
580000,b1,  0.07930000
580000,b2,  0.09345000
580000,b3,  0.08665000
590000,b1,  0.08105000
590000,b2,  0.09765000
590000,b3,  0.09045000
600000,b1,  0.08645000
600000,b2,  0.09960000
600000,b3,  0.09460000
610000,b1,  0.08515000
610000,b2,  0.09970000
610000,b3,  0.09580000
620000,b1,  0.08800000
620000,b2,  0.10215000
620000,b3,  0.09440000
630000,b1,  0.08865000
630000,b2,  0.10460000
630000,b3,  0.09615000
640000,b1,  0.09095000
640000,b2,  0.10585000
640000,b3,  0.09855000
650000,b1,  0.08980000
650000,b2,  0.10665000
650000,b3,  0.09965000
