Control Points, Method, Time (s)
660000,b1,  0.03040000
660000,b2,  0.03350000
660000,b3,  0.02960000
670000,b1,  0.03130000
670000,b2,  0.03360000
670000,b3,  0.03050000
680000,b1,  0.03210000
680000,b2,  0.03415000
680000,b3,  0.03125000
690000,b1,  0.03295000
690000,b2,  0.03455000
690000,b3,  0.03275000
700000,b1,  0.03325000
700000,b2,  0.03650000
700000,b3,  0.03385000
710000,b1,  0.03485000
710000,b2,  0.03650000
710000,b3,  0.03220000
720000,b1,  0.03425000
720000,b2,  0.03665000
720000,b3,  0.03335000
730000,b1,  0.03495000
730000,b2,  0.03770000
730000,b3,  0.03425000
740000,b1,  0.03540000
740000,b2,  0.03720000
740000,b3,  0.03335000
750000,b1,  0.03515000
750000,b2,  0.03770000
750000,b3,  0.03395000
760000,b1,  0.03555000
760000,b2,  0.03790000
760000,b3,  0.03425000
770000,b1,  0.03580000
770000,b2,  0.03835000
770000,b3,  0.03470000
780000,b1,  0.03625000
780000,b2,  0.03965000
780000,b3,  0.03500000
790000,b1,  0.03665000
790000,b2,  0.03940000
790000,b3,  0.03555000
800000,b1,  0.03705000
800000,b2,  0.03980000
800000,b3,  0.03620000
810000,b1,  0.03755000
810000,b2,  0.04020000
810000,b3,  0.03705000
820000,b1,  0.03825000
820000,b2,  0.04095000
820000,b3,  0.03700000
830000,b1,  0.03850000
830000,b2,  0.04405000
830000,b3,  0.03820000
840000,b1,  0.03960000
840000,b2,  0.04225000
840000,b3,  0.03830000
850000,b1,  0.04055000
850000,b2,  0.04220000
850000,b3,  0.03850000
860000,b1,  0.03995000
860000,b2,  0.04260000
860000,b3,  0.03860000
870000,b1,  0.04065000
870000,b2,  0.04325000
870000,b3,  0.03920000
880000,b1,  0.04195000
880000,b2,  0.04370000
880000,b3,  0.03965000
890000,b1,  0.04130000
890000,b2,  0.04415000
890000,b3,  0.04010000
900000,b1,  0.04290000
900000,b2,  0.04925000
900000,b3,  0.04515000
910000,b1,  0.04675000
910000,b2,  0.04850000
910000,b3,  0.04250000
920000,b1,  0.04325000
920000,b2,  0.04645000
920000,b3,  0.04165000
930000,b1,  0.04340000
930000,b2,  0.04760000
930000,b3,  0.04195000
940000,b1,  0.04405000
940000,b2,  0.04695000
940000,b3,  0.04335000
950000,b1,  0.04425000
950000,b2,  0.04775000
950000,b3,  0.04645000
960000,b1,  0.04460000
960000,b2,  0.04800000
960000,b3,  0.04340000
970000,b1,  0.04520000
970000,b2,  0.04840000
970000,b3,  0.04520000
980000,b1,  0.04570000
980000,b2,  0.04920000
980000,b3,  0.04425000
990000,b1,  0.04720000
990000,b2,  0.05025000
990000,b3,  0.04455000
1000000,b1,  0.04875000
1000000,b2,  0.05295000
1000000,b3,  0.04605000
