Control Points, Method, Time (s)
0,b1,  0.00000000
0,b2,  0.00000000
0,b3,  0.00000000
10000,b1,  0.00120000
10000,b2,  0.00070000
10000,b3,  0.00045000
20000,b1,  0.00095000
20000,b2,  0.00100000
20000,b3,  0.00090000
30000,b1,  0.00140000
30000,b2,  0.00150000
30000,b3,  0.00135000
40000,b1,  0.00185000
40000,b2,  0.00195000
40000,b3,  0.00175000
50000,b1,  0.00230000
50000,b2,  0.00250000
50000,b3,  0.00225000
60000,b1,  0.00380000
60000,b2,  0.00325000
60000,b3,  0.00265000
70000,b1,  0.00315000
70000,b2,  0.00340000
70000,b3,  0.00305000
80000,b1,  0.00360000
80000,b2,  0.00390000
80000,b3,  0.00360000
90000,b1,  0.00445000
90000,b2,  0.00470000
90000,b3,  0.00415000
100000,b1,  0.00475000
100000,b2,  0.00505000
100000,b3,  0.00455000
110000,b1,  0.00510000
110000,b2,  0.00545000
110000,b3,  0.00490000
120000,b1,  0.00555000
120000,b2,  0.00595000
120000,b3,  0.00565000
130000,b1,  0.00695000
130000,b2,  0.00650000
130000,b3,  0.00585000
140000,b1,  0.00655000
140000,b2,  0.00710000
140000,b3,  0.00645000
150000,b1,  0.00710000
150000,b2,  0.00760000
150000,b3,  0.00675000
160000,b1,  0.00750000
160000,b2,  0.00800000
160000,b3,  0.00715000
170000,b1,  0.00880000
170000,b2,  0.00865000
170000,b3,  0.00770000
180000,b1,  0.00835000
180000,b2,  0.00900000
180000,b3,  0.00815000
190000,b1,  0.00885000
190000,b2,  0.00950000
190000,b3,  0.00870000
200000,b1,  0.00940000
200000,b2,  0.01005000
200000,b3,  0.00910000
210000,b1,  0.01140000
210000,b2,  0.01080000
210000,b3,  0.00975000
220000,b1,  0.01060000
220000,b2,  0.01125000
220000,b3,  0.01020000
230000,b1,  0.01095000
230000,b2,  0.01160000
230000,b3,  0.01060000
240000,b1,  0.01135000
240000,b2,  0.01325000
240000,b3,  0.01080000
250000,b1,  0.01155000
250000,b2,  0.01240000
250000,b3,  0.01130000
260000,b1,  0.01200000
260000,b2,  0.01305000
260000,b3,  0.01170000
270000,b1,  0.01255000
270000,b2,  0.01350000
270000,b3,  0.01320000
280000,b1,  0.01295000
280000,b2,  0.01410000
280000,b3,  0.01255000
290000,b1,  0.01335000
290000,b2,  0.01440000
290000,b3,  0.01310000
300000,b1,  0.01420000
300000,b2,  0.01520000
300000,b3,  0.01765000
310000,b1,  0.01650000
310000,b2,  0.01545000
310000,b3,  0.01510000
320000,b1,  0.01505000
320000,b2,  0.01595000
320000,b3,  0.01440000
330000,b1,  0.01525000
330000,b2,  0.01640000
330000,b3,  0.01475000
340000,b1,  0.01620000
340000,b2,  0.01705000
340000,b3,  0.01545000
350000,b1,  0.01640000
350000,b2,  0.01770000
350000,b3,  0.01580000
360000,b1,  0.01665000
360000,b2,  0.01785000
360000,b3,  0.01620000
370000,b1,  0.01770000
370000,b2,  0.01900000
370000,b3,  0.01695000
380000,b1,  0.01790000
380000,b2,  0.01925000
380000,b3,  0.01730000
390000,b1,  0.01825000
390000,b2,  0.01975000
390000,b3,  0.01765000
400000,b1,  0.01845000
400000,b2,  0.02035000
400000,b3,  0.01815000
410000,b1,  0.01925000
410000,b2,  0.02070000
410000,b3,  0.01890000
420000,b1,  0.01995000
420000,b2,  0.02130000
420000,b3,  0.01925000
430000,b1,  0.02020000
430000,b2,  0.02165000
430000,b3,  0.02080000
440000,b1,  0.02080000
440000,b2,  0.02235000
440000,b3,  0.01990000
450000,b1,  0.02120000
450000,b2,  0.02235000
450000,b3,  0.02040000
460000,b1,  0.02165000
460000,b2,  0.02295000
460000,b3,  0.02085000
470000,b1,  0.02315000
470000,b2,  0.02345000
470000,b3,  0.02120000
480000,b1,  0.02230000
480000,b2,  0.02405000
480000,b3,  0.02190000
490000,b1,  0.02285000
490000,b2,  0.02500000
490000,b3,  0.02260000
500000,b1,  0.02550000
500000,b2,  0.02640000
500000,b3,  0.02315000
510000,b1,  0.02410000
510000,b2,  0.02880000
510000,b3,  0.02280000
520000,b1,  0.02400000
520000,b2,  0.02570000
520000,b3,  0.02445000
530000,b1,  0.02465000
530000,b2,  0.02660000
530000,b3,  0.02400000
540000,b1,  0.02500000
540000,b2,  0.02670000
540000,b3,  0.02415000
550000,b1,  0.02565000
550000,b2,  0.02730000
550000,b3,  0.02490000
560000,b1,  0.02595000
560000,b2,  0.02780000
560000,b3,  0.02640000
570000,b1,  0.02660000
570000,b2,  0.02840000
570000,b3,  0.02575000
580000,b1,  0.02700000
580000,b2,  0.02890000
580000,b3,  0.02620000
590000,b1,  0.02735000
590000,b2,  0.02930000
590000,b3,  0.02645000
600000,b1,  0.02890000
600000,b2,  0.02990000
600000,b3,  0.02695000
610000,b1,  0.02810000
610000,b2,  0.03025000
610000,b3,  0.02810000
620000,b1,  0.02915000
620000,b2,  0.03120000
620000,b3,  0.02845000
630000,b1,  0.03015000
630000,b2,  0.03390000
630000,b3,  0.03060000
640000,b1,  0.03165000
640000,b2,  0.03430000
640000,b3,  0.03020000
650000,b1,  0.02995000
650000,b2,  0.03210000
650000,b3,  0.02900000
