Control Points, Method, Time (s)
710000,b2,  0.01165000
710000,b3,  0.01125000
720000,b1,  0.00755000
720000,b2,  0.01425000
720000,b3,  0.01185000
730000,b1,  0.00675000
730000,b2,  0.01210000
730000,b3,  0.01145000
740000,b1,  0.00630000
740000,b2,  0.01230000
740000,b3,  0.01150000
750000,b1,  0.00635000
750000,b2,  0.01275000
750000,b3,  0.01170000
760000,b1,  0.00825000
760000,b2,  0.01305000
760000,b3,  0.01155000
770000,b1,  0.00655000
770000,b2,  0.01325000
770000,b3,  0.01210000
780000,b1,  0.00675000
780000,b2,  0.01415000
780000,b3,  0.01180000
790000,b1,  0.00680000
790000,b2,  0.01380000
790000,b3,  0.01175000
800000,b1,  0.00695000
800000,b2,  0.01555000
800000,b3,  0.01340000
810000,b1,  0.00690000
810000,b2,  0.01400000
810000,b3,  0.01270000
820000,b1,  0.00695000
820000,b2,  0.01470000
820000,b3,  0.01220000
830000,b1,  0.00720000
830000,b2,  0.01465000
830000,b3,  0.01275000
840000,b1,  0.00735000
840000,b2,  0.01505000
840000,b3,  0.01310000
850000,b1,  0.00930000
850000,b2,  0.01465000
850000,b3,  0.01310000
860000,b1,  0.00740000
860000,b2,  0.01480000
860000,b3,  0.01345000
870000,b1,  0.00735000
870000,b2,  0.01530000
870000,b3,  0.01325000
880000,b1,  0.00765000
880000,b2,  0.01575000
880000,b3,  0.01415000
890000,b1,  0.00775000
890000,b2,  0.01570000
890000,b3,  0.01320000
900000,b1,  0.00780000
900000,b2,  0.01550000
900000,b3,  0.01335000
910000,b1,  0.00800000
910000,b2,  0.01585000
910000,b3,  0.01360000
920000,b1,  0.00845000
920000,b2,  0.01605000
920000,b3,  0.01360000
930000,b1,  0.00820000
930000,b2,  0.01650000
930000,b3,  0.01435000
940000,b1,  0.00945000
940000,b2,  0.01650000
940000,b3,  0.01455000
950000,b1,  0.00860000
950000,b2,  0.01655000
950000,b3,  0.01465000
960000,b1,  0.00875000
960000,b2,  0.01880000
960000,b3,  0.01650000
970000,b1,  0.00870000
970000,b2,  0.01670000
970000,b3,  0.01490000
980000,b1,  0.00885000
980000,b2,  0.01880000
980000,b3,  0.01455000
990000,b1,  0.00905000
990000,b2,  0.01755000
990000,b3,  0.01550000
1000000,b1,  0.00900000
1000000,b2,  0.01770000
1000000,b3,  0.01505000
